KOR_A
8,7,7,7,7,7,-,-
GEO_I
1,46,44,44,45,45,44,46
2,41,40,40,41,40,39,41
3,34,33,33,34,33,33,34
4,28,26,27,28,27,-,-
5,21,20,21,21,20,-,-
6,17,15,16,16,14,-,-
7,12,11,12,12,11,-,-
8,9,8,8,8,7,-,-
GEO_II
1,45,45,46,45,46,44,45
2,39,39,40,39,39,39,38
3,32,32,33,32,30,32,32
4,25,25,25,24,22,-,-
5,17,17,18,17,15,-,-
6,12,12,14,12,11,-,-
7,10,9,10,9,7,-,-
8,7,6,6,6,5,-,-
